params,train_tc_rmse,train_ts_rmse,test_tc_rmse,test_ts_rmse,test_tc_r2,test_ts_r2
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 1.0}",1.7152241065115787,10.660158745875556,3.7496006672002364,7.95907170024144,0.23146614651791875,-0.04468182480246674
"{'learning_rate': 0.2, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 1.0}",1.9299096047608773,9.787841720486485,3.7870335489416145,8.754537564349684,0.21604475131232104,-0.2639375775933728
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",1.6126946410672809,10.94778230300682,3.7716341015413235,7.105822113036498,0.22240747925311588,0.16730133745369602
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",1.6705240255892642,10.846774144056818,3.838352377783187,7.51925170522581,0.1946537294124182,0.06758671927513038
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 0.8}",1.5836952568202525,11.277332329139732,3.7770997974427116,7.083003163368225,0.22015213652255816,0.17264084612284325
"{'learning_rate': 0.2, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 1.0}",2.0387180764892965,9.682840803659527,3.7583546294716115,8.339275659743631,0.22787346007023213,-0.14687441561424208
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 300, 'reg_lambda': 3, 'colsample_bytree': 1.0}",1.9083570125241531,10.073222541710257,3.778495845032406,8.132354872318263,0.21957555343727786,-0.09066618433508511
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",1.5537271167163134,12.27181800806247,3.825812151834795,6.277490694268974,0.19990740374572114,0.35012271126452865
"{'learning_rate': 0.2, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 1.0}",2.0502795573143078,9.675993124407,3.7648086976637547,8.427234390275473,0.225219300635621,-0.17119538220283026
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",1.5778541731858309,11.326414729908116,3.804330220510288,6.832822706136277,0.20886721647685902,0.23005534418162799
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 1.0}",1.9285026404593537,10.045069089661512,3.73788884935885,8.647931699051837,0.23625965503592183,-0.23334252671637645
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",1.5972650367169863,10.958266196545297,3.771740221079938,7.116134208187619,0.22236372160421425,0.16488272961038386
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",1.9002771046058216,10.159225407650421,3.7653507248925617,7.981678672791786,0.22499619104369806,-0.05062488833082335
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 3, 'colsample_bytree': 1.0}",1.7544382075053955,10.330823836082198,3.7692474958709026,7.864925526523392,0.22339125419673989,-0.02011335676029713
"{'learning_rate': 0.2, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 1, 'colsample_bytree': 1.0}",2.050049714445593,9.676373400475343,3.7648993860313364,8.42467976223035,0.2251819736696199,-0.17048541854473043
