params,train_tc_rmse,train_ts_rmse,test_tc_rmse,test_ts_rmse,test_tc_r2,test_ts_r2
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 1.0}",2.7325733256674747,12.235244810049341,4.045091806541708,7.782892828296525,-3.442305989436348,0.11135553934696618
"{'learning_rate': 0.2, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 1.0}",2.8198742188825707,11.889186754648136,3.6819620799728043,8.002998206592824,-2.6805297053729764,0.060381893987877744
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.294818277311998,12.398925286249494,2.1895936649483443,4.7700731716663505,-0.30160365693559177,0.6661925541042395
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.2827381652391794,12.492986584356839,2.019690453775301,5.492064944808022,-0.10744286609527443,0.5574959334742366
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.2905610888990497,12.481275462692736,2.3884362250462954,4.709492544267173,-0.5487417402965085,0.6746175198942151
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.427724870133907,12.378956949475201,2.7657424037002434,5.705412878732585,-1.0767066846390847,0.5224486315300897
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.427724870133907,12.378956949475201,2.7657424037002434,5.705412878732585,-1.0767066846390847,0.5224486315300897
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.277783939162184,12.877444548208414,2.225447161893267,5.23004680174631,-0.3445788611372502,0.5987111543211556
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.294818277311998,12.398925286249494,2.1895936649483443,4.7700731716663505,-0.30160365693559177,0.6661925541042395
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.2827381652391794,12.492986584356839,2.019690453775301,5.492064944808022,-0.10744286609527443,0.5574959334742366
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 1.0}",2.699661085670473,12.367561315610262,3.4298209026945012,6.993037386306664,-2.1937034681797094,0.28257313090178837
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 0.8}",2.2547748723721583,13.097621131699247,1.8408278857980829,5.3933597185690525,0.08002066189620227,0.5732586644122959
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.427724870133907,12.378956949475201,2.7657424037002434,5.705412878732585,-1.0767066846390847,0.5224486315300897
