params,train_tc_rmse,train_ts_rmse,test_tc_rmse,test_ts_rmse,test_tc_r2,test_ts_r2
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.5474110484773917,9.5187798504888,1.5292157197993392,15.52998291967981,-2.8913782113044553,0.07735617795039218
"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.5659587004458735,9.513821059128253,2.03378011871574,15.332317468457394,-5.882939155437546,0.10069350885052453
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.5444031982443525,9.597679514640392,1.8556847578478348,16.32355854295871,-4.730260115354825,-0.01934642514594742
"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.5659587004458735,9.513821059128253,2.03378011871574,15.332317468457394,-5.882939155437546,0.10069350885052453
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.4863134357410313,10.070137416091693,1.4401445728733249,16.563094358175658,-2.451263509107666,-0.049482192504024525
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.5267467922977214,9.653734426575072,2.0090760710023305,16.393997801103954,-5.716742474680331,-0.028162753453703893
"{'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.8, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.5440990808294117,9.635347617479734,1.85639287650306,16.39387320660737,-4.734634218518749,-0.028147125425027175
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.6157141821982184,9.312154601243165,1.4992854977217829,15.049535695787865,-2.7405426904964947,0.13356033707341708
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.640261345604783,9.292110979751111,1.9576295083243276,15.160484553598298,-5.3771545290055816,0.120738035886363
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 0.8}",2.674286291032339,9.18885763428372,1.7371907384846952,14.627980088157083,-4.0218177337385645,0.18142054018117337
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.647311187559741,9.275075167291556,1.9235408349877854,15.313460407708886,-5.156994365439692,0.10290424428096756
