params,train_tc_rmse,train_ts_rmse,test_tc_rmse,test_ts_rmse,test_tc_r2,test_ts_r2
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.9, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.150121356798627,8.499094027836732,2.799913121600281,15.550525410777668,0.29559835528813094,0.25700614986618353
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.161384089238219,8.258074777765966,2.7164442321046707,15.678321387393026,0.3369705230909166,0.24474395501758373
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 300, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.4069635175409396,7.103227981491956,2.3056606039494563,15.677076716771255,0.5223365538018068,0.24486386679560268
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.161384089238219,8.258074777765966,2.7164442321046707,15.678321387393026,0.3369705230909166,0.24474395501758373
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.2545063283686293,7.341016468498882,2.1828544328353137,15.972056548850068,0.5718649340313655,0.21617923829474073
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.2040038957869705,7.575875977406045,2.3652693998851926,16.82693450909683,0.4973189933267448,0.13002836392988482
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",2.4549704358882796,7.058713655787849,2.214332081403254,15.74535143954048,0.5594281406455991,0.23827220719605402
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",2.503264369055591,7.018873222645747,2.1984454752157854,15.829982525913167,0.5657271813575548,0.2300616439090517
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9, 'n_estimators': 200, 'reg_lambda': 1, 'colsample_bytree': 1.0}",2.2927615404891224,7.283132825874479,2.776774439168026,15.410038739774754,0.3071926994777262,0.2703702300172045
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.1468975620059374,8.637257165952708,2.582393127415895,16.633499189491797,0.40079426114952066,0.14991505035023178
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",2.1988120158098554,7.6888766388529675,2.047364946711026,16.65994107650463,0.6233640454631999,0.1472101815560415
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",2.204269178062594,7.494377829670399,2.2674615019314874,16.58337995305286,0.53803285055447,0.15503020015059366
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 1.0}",2.1723840764750966,7.782861422291706,2.5994763668984064,16.59100268278526,0.39284021786857826,0.15425322262650332
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",2.4549704358882796,7.058713655787849,2.214332081403254,15.74535143954048,0.5594281406455991,0.23827220719605402
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 3, 'colsample_bytree': 1.0}",2.3261825470026536,7.181825931922766,2.064946204889304,15.893502357919953,0.616867729066712,0.22387029449215645
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",2.1988120158098554,7.6888766388529675,2.047364946711026,16.65994107650463,0.6233640454631999,0.1472101815560415
