params,train_tc_rmse,train_ts_rmse,test_tc_rmse,test_ts_rmse,test_tc_r2,test_ts_r2
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.690749142947573,11.970954597269476,0.2852731565774469,7.174000159649414,0.9444398601723988,0.735060240325288
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.6214980095402822,12.530018717123335,0.6010745651675791,7.242601365527768,0.7533402899869464,0.7299690536821113
"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.6949942728179326,11.862781204646184,0.3173052354089361,7.325714897423149,0.9312621426589096,0.7237359338980267
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.6214980095402822,12.530018717123335,0.6010745651675791,7.242601365527768,0.7533402899869464,0.7299690536821113
"{'learning_rate': 0.2, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.8627715405247636,11.567809575241206,0.226061264117974,7.560889476178384,0.9651105744933908,0.7057136263941834
"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 300, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.832190673825914,11.80340222242947,0.2276111572574366,7.312988579013243,0.9646305254041869,0.7246949585539753
"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 0.8}",2.6689762975393103,12.361716544961089,0.4580743033698526,8.221187226395582,0.8567438173416471,0.6520687385892336
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.7070122376786623,11.840886438901995,0.27471964202310795,7.19793041365021,0.9484746514216185,0.7332897775786604
