params,train_tc_rmse,train_ts_rmse,test_tc_rmse,test_ts_rmse,test_tc_r2,test_ts_r2
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 0.8}",1.6140311975937534,9.858266321897904,4.120129547814551,12.015356909472564,0.15737816844432695,0.44052848529108046
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",1.6182306354867422,9.831550708840867,4.295200728009687,11.880373097813479,0.08424796381122246,0.45302838757619224
"{'learning_rate': 0.2, 'max_depth': 3, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 1.0}",1.654021483912365,9.796623880778013,4.161497874112509,10.09678821039249,0.14037246495206923,0.6049326665232446
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.9, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",1.676281876052933,9.789081222559647,4.131074993900155,10.164017172195575,0.15289524024485757,0.5996540788724405
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 300, 'reg_lambda': 5, 'colsample_bytree': 0.8}",1.5309874766747689,10.241635033800623,4.31628533110587,11.455632769974656,0.07523527249364759,0.4914393024291349
"{'learning_rate': 0.2, 'max_depth': 5, 'subsample': 0.8, 'n_estimators': 300, 'reg_lambda': 3, 'colsample_bytree': 0.8}",1.5414881680225494,9.954066639374958,4.248020940587743,12.077878554224892,0.1042552700037408,0.4346909415560375
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 1.0}",1.7688885733495812,9.754757345507809,4.031379714944106,10.421676952827978,0.1932882617976338,0.5790991122433011
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",1.6182306354867422,9.831550708840867,4.295200728009687,11.880373097813479,0.08424796381122246,0.45302838757619224
"{'learning_rate': 0.2, 'max_depth': 4, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 1.0}",1.782600053119106,9.749086293494075,4.128548025470909,10.414207561916111,0.15393126708305715,0.579702229504879
"{'learning_rate': 0.2, 'max_depth': 3, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",1.584782741102807,9.935963483337277,4.200688529294885,12.206449583268437,0.1241052452524789,0.4225912627925066
