TC权重,TS权重,综合得分,TC预测值,TS预测值,TC实际值,TS实际值,TC_R2,TS_R2
0.2,0.8,0.81658155,2.4911888,79.597336,2.30112,80.175,0.9781170063878091,0.9015905142534407
0.3,0.7,0.72487235,2.4911888,79.597336,2.30112,80.175,0.9781170063878091,0.9015905142534407
0.4,0.6,0.63316315,2.4911888,79.597336,2.30112,80.175,0.9781170063878091,0.9015905142534407
0.5,0.5,0.5414539,2.4911888,79.597336,2.30112,80.175,0.9781170063878091,0.9015905142534407
0.6,0.4,0.61937886,5.3965254,57.642292,5.29022,58.07,0.9781170063878091,0.9015905142534407
0.7,0.3,0.7145341,5.3965254,57.642292,5.29022,58.07,0.9781170063878091,0.9015905142534407
0.8,0.2,0.80968946,5.3965254,57.642292,5.29022,58.07,0.9781170063878091,0.9015905142534407
