learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2
0.4,5,0.6,400,5,0.8,0.189989884,0.999794883,3.593228691,,2.780616001,0.942253265
0.4,8,0.8,400,10,0.6,0.266192734,0.999598459,3.475590299,,2.780706837,0.942249492
0.2,8,0.8,200,10,1,0.357668847,0.999277196,3.598011092,,2.782401874,0.942179064
0.3,8,0.6,400,10,1,0.141475483,0.999886623,3.368402359,,2.783766373,0.942122339
0.1,7,0.8,300,5,1,0.243010361,0.999666357,3.722951927,,2.783991912,0.94211296
0.3,6,0.6,400,5,1,0.116787625,0.999921527,3.608085912,,2.784066201,0.942109871
0.4,6,0.9,400,3,0.8,0.112462605,0.999926592,3.74999719,,2.784836137,0.942077848
0.2,7,0.8,400,10,1,0.126702775,0.999908793,3.546094629,,2.785310038,0.942058132
0.4,6,0.9,200,3,0.8,0.116896892,0.999921498,3.739355892,,2.785647675,0.942044084
0.2,8,0.6,400,10,1,0.245290385,0.999659645,3.48000253,,2.785776651,0.942038717
0.4,6,0.9,300,3,0.8,0.112849517,0.999926122,3.749526786,,2.785816429,0.942037062
0.4,7,0.8,300,5,0.6,0.161270893,0.999852635,3.445977881,,2.788081498,0.941942768
0.3,7,0.6,100,5,1,0.544393051,0.998321056,3.584025521,,2.788315424,0.941933025
0.3,6,0.6,300,5,1,0.130940059,0.999902584,3.580330801,,2.790600325,0.941837819
0.3,8,0.8,400,3,1,0.112780773,0.999926147,4.07564941,,2.792022678,0.941778514
0.3,8,0.8,200,3,1,0.112490661,0.999926548,4.068904683,,2.792130058,0.941774036
0.3,8,0.8,300,3,1,0.112591564,0.999926398,4.067497401,,2.792202755,0.941771004
0.4,8,0.9,100,3,0.8,0.165445797,0.999844498,3.937677583,,2.794270519,0.941684729
