iter	RMSE
0	15.63526228
1	15.55476741
2	15.47862286
3	15.41995122
4	15.3385539
5	15.25765583
6	15.15772962
7	15.07796295
8	15.00758853
9	14.93559394
10	14.86468627
11	14.78583057
12	14.71608406
13	14.6518449
14	14.56061996
15	14.4830963
16	14.40655232
17	14.34418056
18	14.2812004
19	14.19326002
20	14.1196585
21	14.06263206
22	13.99724844
23	13.93773233
24	13.88136953
25	13.81610422
26	13.75484787
27	13.67754509
28	13.6159089
29	13.55830623
30	13.4999597
31	13.4427358
32	13.37684086
33	13.29373645
34	13.2256211
35	13.15536417
36	13.10758573
37	13.06381139
38	13.0240046
39	12.9758651
40	12.89582473
41	12.84011539
42	12.77824523
43	12.72823658
44	12.6747536
45	12.59813556
46	12.54903722
47	12.51306418
48	12.45603721
49	12.38673118
50	12.33124712
51	12.26330097
52	12.22430862
53	12.17308231
54	12.12561106
55	12.06799032
56	12.0195131
57	11.97345251
58	11.92667438
59	11.88941592
60	11.83414
61	11.78641852
62	11.73238959
63	11.69319578
64	11.64560942
65	11.59226959
66	11.55688503
67	11.50599902
68	11.46003815
69	11.42379302
70	11.37349418
71	11.33431084
72	11.27259954
73	11.22155172
74	11.16944819
75	11.12705564
76	11.08681163
77	11.04494114
78	10.98576927
79	10.95655942
80	10.91571785
81	81	10.60207594
82	10.56377592
83	10.53073394
84	10.4848963
85	10.42568712
86	10.38068833
87	10.34197926
88	10.29438093
89	10.25457374
90	10.21870795
91	10.17180756
92	10.11972255
93	10.08444961
94	10.04961374
95	10.00826634
96	9.960346184
97	9.912887582
98	9.869813269
99	9.835489227
100	9.786801107
101	9.746463489
102	9.713713527
103	9.674043975
104	9.634745201
105	9.595792402
106	9.554313455
107	9.518751786
108	9.49032139
109	9.451709128
110	9.412351976
111	9.384163237
112	9.340203335
113	9.301980763
114	9.270498846
115	9.232333025
116	9.1949694
117	9.158405911
118	9.116641208
119	9.079455345
120	9.04966823
121	9.011646967
122	8.977752914
123	8.935808084
124	8.906277281
125	8125	8.642755992
126	8.612256308
127	8.579449259
128	8.55474873
129	8.531674223
130	8.508209635
131	8.482754834
132	8.45410351
133	8.428342935
134	8.396013252
135	8.370213563
136	8.344168287
137	8.32085516
138	8.29772551139	8.444605614
140	8.413797453
141	8.389468082
142	8.360058504
143	8.329932101
144	8.309691098
145	8.283639258
146	8.25554246
147	8.225179602
148	8.206304883
149	8.183763728
150	8.161038649
151	8.132941132
152	8.104480188
153	8.087211908
154	8.057468312
155	8.029674179
156	8.003555959
157	7.9775158	7.910448499
159	7.884054398
160	7.852563584
161	7.827777533
162	7.80745341
163	7.787138408
164	7.766992663
165	7.743383293
166	7.723567412
167	7.7032253
168	7.682930151
169	7.663088769
170	7.643195694
171	7.622368732
172	7.599004219
173	7.573279092
174	7.548225591
175	7.526078678
176	7.501031136
177	7.47924298
178	7.454915765
179	7.43179	7.472479601
180	7.442997193
181	7.420807681
182	7.397400763
183	7.372664966
184	7.352354987
185	7.330530009
186	7.307793201
187	7.290765112
188	7.189	7.241894393
190	7.212690355
191	7.186807222
192	7.173829775
193	7.155355399
194	7.135111413
195	7.115127456
196	7.087322468
197	7.065935727
198	7.046440573
199	7.027961496
200	7.008767707
201	6.993469358
202	6.976028481
203	6.957227782
204	6.932945342
205	6.918142949
206	6.901307738
207	6.884659149
208	6.865799167
209	6.849514553
210	6.838375463
211	6.824344566
212	6.804187079
213	6.786715241
214	6.773044797
215	6.760050457
216	6.74670514
217	6.724384942
218	6.705079223
219	6.684290146
220	6.669013877
221	6.654458079
222	6.6222	6.621991596
223	6.603250354
224	6.590343784
225	6.569854617
226	6.550945802
227	6.537336723
228	6.519286228
229	6.501393432
230	6.488141816
231	6.468641739
232	6.457504917
233	6.446466562
234	6.428689918
235	6.409856668
236	6.399121566
237	6.380571616
238	6.368312015
239	6.356186743
240	6.337014796
241	6.328128848
242	6.317450724
243	6.302478353
244	6.28482922
245	6.274492492
246	6.259915187
247	6.248638747
248	6.232954312
249	6.218656832
250	6.202970599
251	6.187669892
252	6.170088765
253	6.162138398
254	6.15300183
255	6.13934002256	6.190747804
257	6.17783577
258	6.163154019
259	6.150314191
260	6.141577315
261	6.132920333
262	6.118632346
263	6.106292838
264	6.092464879
265	6.080108239
266	6.066507528
267	6.054465144
268	6.046312156
269	6.034552568
270	6.022688782
271	6.011133161
272	6.002982538
273	5.989822051
274	5.981809401
275	5.968840541
276	5.955999647
277	5.944882907
278	5.937414505
279	5.930015525
280	5.922400506
281	5.915137844
282	5.902767337
283	5.890520204
284	5.883446522
285	5.876438976
286	5.864604555
287	5.857431103
288	5.84494988
289	5.8334012
290	5.821163864
291	5.814234013
292	5.802964816
293	5.791645852
294	5.780440934
295	5.770767485
296	5.761031776
297	5.750106281
298	5.739430974
299	5.728107682
300	5.721923558
301	5.715555903
302	5.704461649
303	5.698209501
304	5.692017048
305	5.681729177
306	5.670966249
307	5.660317443
308	5.65034301
309	5.644412468
310	5.638802406
311	5.629026978
312	5.618795221
313	5.610390301
314	5.600887287
315	5.595261152
316	5.587054744
317	5.578923138
318	5.569165867
319	5.559513447
320	5.549964726
321	5.540518562
322	5.531173831
323	5.526183609
324	5.51698322
325	5.508449419
326	5.503353014
327	5.494383765
328	5.486062754
329	5.481102764
330	5.476130057
331	5.471266394
332	5.466450121
333	5.457840427
334	5.453114138
335	5.445161467
336	5.440520462
337	5.432614574
338	5.42434776
339	5.41983152
340	5.411695624
341	5.407264253
342	5.399257252
343	5.391813369
344	5.384444846
345	5.377150955
346	5.369930975
347	5.362312533
348	5.354777307
349	5.350651062
350	5.343236039
351	5.336342136
352	5.329079118
353	5.321895524
354	5.315211413
355	5.30817514
356	5.301215821
357	5.294332594
358	5.28752461
359	5.280791029
360	5.274508303
361	5.268858201
362	5.262690588
363	5.256210848
364	5.250169162
365	5.246603678
366	5.240654468
367	5.237154891
368	5.230936089
369	5.227503857
370	5.221385672
371	5.218019566
372	5.212340545
373	5.206380201
374	5.203107669
375	5.197243886
376	5.194034603
377	5.190857402
378	5.185118631
379	5.17944331
380	5.174134327
381	5.168880138
382	5.163377288
383	5.1603735
384	5.157399844
385	5.152014657
386	5.149098827
387	5.143801074
388	5.138562093
389	5.133381214
390	5.130576395
391	5.127799787
392	5.123401195
393	5.118372527
394	5.115676137
395	5.110729243
396	5.108085581
397	5.103461965
398	5.100868109
399	5.096074917
400	5.093531891
401	5.09101455
402	5.086323497
403	5.08385555
404	5.079240713
405	5.074677529
406	5.070377995
407	5.065910972
408	5.061493939
409	5.059164745
410	5.054819643
411	5.050523187
412	5.048261995
413	5.044035524
414	5.039856389
415	5.035724045
416	5.031637954
417	5.027597584
418	5.023766625
419	5.021654059
420	5.019562987
421	5.015648841
422	5.01177857
423	5.00795167
424	5.00416764
425	5.000425989
426	4.996726229
427	4.993067879
428	4.989450463
429	4.987536931
430	4.983978719
431	4.980460335
432	4.976981321
433	4.973541226
434	4.971720441
435	4.968336701
436	4.966552242
437	4.96322391
438	4.959932847
439	4.956678624
440	4.953767718
441	4.950577945
442	4.947423915
443	4.944305215
444	4.942657174
445	4.939589674
446	4.936556546
447	4.933557393
448	4.930591827
449	4.929024257
450	4.926107409
451	4.923223235
452	4.920612951
453	4.917786267
454	4.914991273
455	4.912457416
456	4.909718212
457	4.907009745
458	4.904550122
459	4.90211579
460	4.900711137
461	4.898094307
462	4.895722002
463	4.894359275
464	4.891808408
465	4.88949654
466	4.886996784
467	4.884730869
468	4.88248832
469	4.880268895
470	4.878072354
471	4.87589846
472	4.873746977
473	4.871617674
474	4.870396793
475	4.868301524
476	4.866227869
477	4.864175603
478	4.862144505
479	4.860134355
480	4.858144937
481	4.856176037
482	4.854003229
483	4.852073522
484	4.850163727
485	4.848273639
486	4.846403054
487	4.84455177
488	4.842719589
489	4.840906312
490	4.839111746
491	4.837335697
492	4.835577974
493	4.833838388
494	4.832116753
495	4.830412884
496	4.828726598
497	4.827057714
498	4.825406052
499	4.823771437
500	4.821917097
501	4.820084696
502	4.818498257
503	4.81692821
504	4.815374387
505	4.813836619
506	4.812086628
507	4.810579556
508	4.809088066
509	4.807388041
510	4.805926335
511	4.80447975
512	4.803048133
513	4.801631327
514	4.80022918
515	4.798619069
516	4.797244941
517	4.795667527
518	4.794320864
519	4.792988151
520	4.791455756
521	4.790149689
522	4.788857158
523	4.787368498
524	4.786101818
525	4.784848275
526	4.783607731
527	4.782380053
528	4.780957912
529	4.779553018
530	4.778361618
531	4.777182588
532	4.776015799
533	4.774662354
534	4.773325368
535	4.772193064
536	4.771072528
