TC权重,TS权重,TC预测,TS预测,TC实际,TS实际,TC_R2,TS_R2
0.2,0.8,5.3965254,79.597336,5.29022,80.175,0.9781170063878091,0.9015905142534407
0.3,0.7,5.3965254,79.597336,5.29022,80.175,0.9781170063878091,0.9015905142534407
0.4,0.6,5.3965254,79.597336,5.29022,80.175,0.9781170063878091,0.9015905142534407
0.5,0.5,5.3965254,79.597336,5.29022,80.175,0.9781170063878091,0.9015905142534407
0.6,0.4,5.3965254,79.597336,5.29022,80.175,0.9781170063878091,0.9015905142534407
0.7,0.3,5.3965254,79.597336,5.29022,80.175,0.9781170063878091,0.9015905142534407
0.8,0.2,5.3965254,79.597336,5.29022,80.175,0.9781170063878091,0.9015905142534407
