Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2
1,7,11.712233450652326,0.13186556489723245,9.188509577865196,,12.738912295423733,0.08577096444223731
1,6,11.712233450652326,0.13186556489723245,9.188509577865196,,12.738912295423733,0.08577096444223731
1,5,11.712233450652326,0.13186556489723245,9.188509577865196,,12.738912295423733,0.08577096444223731
1,4,11.712233450652326,0.13186556489723245,9.188509577865196,,12.738912295423733,0.08577096444223731
1,3,11.74028526514204,0.12770207042839943,9.136258081313096,,12.942283932755448,0.056347354857018694
1,2,11.745085797636486,0.12698856976263073,9.138040493957195,,12.944999520569853,0.05595131340396009
1,1,11.846894875034932,0.11178804965379141,8.977071254345658,,13.519629663265928,-0.029721796447076176
2,7,11.939896891451083,0.1417440978189093,9.706644001240617,,11.639741989444744,0.2604418727953469
2,6,11.939896891451083,0.1417440978189093,9.706644001240617,,11.639741989444744,0.2604418727953469
2,5,11.939896891451083,0.1417440978189093,9.706644001240617,,11.639741989444744,0.2604418727953469
2,4,11.939896891451083,0.1417440978189093,9.706644001240617,,11.639741989444744,0.2604418727953469
2,3,11.941098330799486,0.1415713669653592,9.706747582324738,,11.640944557540623,0.26028904896943705
2,2,11.98022427993231,0.1359367328549278,9.615428210583493,,11.862883675988448,0.23181442038918898
2,1,12.00731436207757,0.13202461747242022,9.414332910826182,,12.30019004729946,0.17413464103349496
3,7,10.91196853528962,0.1813945640829573,8.677442408711576,,14.764948162798111,0.1745660721436153
3,6,10.91196853528962,0.1813945640829573,8.677442408711576,,14.764948162798111,0.1745660721436153
3,5,10.91196853528962,0.1813945640829573,8.677442408711576,,14.764948162798111,0.1745660721436153
3,4,10.91196853528962,0.1813945640829573,8.677442408711576,,14.764948162798111,0.1745660721436153
3,3,10.911968535289624,0.18139456408295673,8.677442408711576,,14.764948162798113,0.17456607214361497
3,2,11.013220982158602,0.16613235856485886,8.740219251952697,,14.737357078712465,0.17764814697802156
3,1,11.146189556298346,0.14587533517937046,8.462748294827872,,15.128864518618117,0.13337516596107135
4,7,10.912023622346135,0.2134222702514348,8.916392865452696,,14.837619781382967,0.06776262436105729
4,6,10.912023622346135,0.2134222702514348,8.916392865452696,,14.837619781382967,0.06776262436105729
4,5,10.912023622346135,0.2134222702514348,8.916392865452696,,14.837619781382967,0.06776262436105729
4,4,10.912023622346135,0.2134222702514348,8.916392865452696,,14.837619781382967,0.06776262436105729
4,3,10.91247663246742,0.21335695971298363,8.916274280479065,,14.837983828565497,0.06771687813512006
4,2,11.08920917146964,0.18767054285382656,9.048021932459797,,14.553775179344303,0.10308898297266988
4,1,11.228289697169158,0.167166339698141,8.772542292924596,,14.912830612849524,0.05828778250838762
5,7,12.044132103116889,0.1658436734556371,10.091989169569585,,10.801569846225055,0.11027130956413411
5,6,12.044132103116889,0.1658436734556371,10.091989169569585,,10.801569846225055,0.11027130956413411
5,5,12.044132103116889,0.1658436734556371,10.091989169569585,,10.801569846225055,0.11027130956413411
5,4,12.044132103116889,0.1658436734556371,10.091989169569585,,10.801569846225055,0.11027130956413411
5,3,12.100959839744087,0.15795351636664656,10.06388043214141,,10.979471930713466,0.08072225952863277
5,2,12.105520589096425,0.15731867636950825,10.065437196370587,,10.982771234675356,0.08016969517739136
5,1,12.696427595022572,0.07304317162273977,10.653375342857988,,12.884658019373843,-0.26598812177569076
6,7,12.069292959449559,0.18384646523319437,9.90462993758917,,10.562667228674584,0.08867989220058925
6,6,12.069292959449559,0.18384646523319437,9.90462993758917,,10.562667228674584,0.08867989220058925
6,5,12.069292959449559,0.18384646523319437,9.90462993758917,,10.562667228674584,0.08867989220058925
6,4,12.069292959449559,0.18384646523319437,9.90462993758917,,10.562667228674584,0.08867989220058925
6,3,12.123273684897587,0.17652953573328878,9.774063425115424,,10.732720537318515,0.05910014922449813
6,2,12.12748117472653,0.17595785106660056,9.775609808516952,,10.73560906806694,0.058593626415455624
6,1,13.003122775088993,0.052665106706093257,10.891550380385134,,11.440095747180653,-0.06901321968736096
7,7,12.459653188728103,0.12940610977726263,9.837310260447145,,9.06083693162189,0.3086258256099319
7,6,12.459653188728103,0.12940610977726263,9.837310260447145,,9.06083693162189,0.3086258256099319
7,5,12.459653188728103,0.12940610977726263,9.837310260447145,,9.06083693162189,0.3086258256099319
7,4,12.459653188728103,0.12940610977726263,9.837310260447145,,9.06083693162189,0.3086258256099319
7,3,12.470509059112254,0.1278883834725838,9.75805028399156,,9.306910408658142,0.2705633329141962
7,2,12.475961958225943,0.12712553147517414,9.759904726664804,,9.31105491263154,0.269913530528749
7,1,12.607121246217908,0.10867607075819397,9.52244007241724,,9.875402155878506,0.1787297240133161
8,7,11.806273325877658,0.20226272051525285,9.375088464270368,,11.723402042121634,0.07113874185264568
8,6,11.806273325877658,0.20226272051525285,9.375088464270368,,11.723402042121634,0.07113874185264568
8,5,11.806273325877658,0.20226272051525285,9.375088464270368,,11.723402042121634,0.07113874185264568
8,4,11.806273325877658,0.20226272051525285,9.375088464270368,,11.723402042121634,0.07113874185264568
8,3,11.806803703660256,0.20219104478468142,9.374920571816157,,11.723982078560914,0.07104682541009488
8,2,11.841760191131415,0.19745989409657982,9.296810260231592,,11.895014319108872,0.043745548720420135
8,1,12.017215215319853,0.17350182464799802,9.205377373707258,,12.245604735181388,-0.0134539172402377
9,7,11.905296615539417,0.2065045727508158,9.848748532743212,,11.449961886950382,-0.2116309093786366
9,6,11.905296615539417,0.2065045727508158,9.848748532743212,,11.449961886950382,-0.2116309093786366
9,5,11.905296615539417,0.2065045727508158,9.848748532743212,,11.449961886950382,-0.2116309093786366
9,4,11.905296615539417,0.2065045727508158,9.848748532743212,,11.449961886950382,-0.2116309093786366
9,3,11.909079575120382,0.20600021941343682,9.850108175771464,,11.453244691663123,-0.21232577943979902
9,2,11.992496006636795,0.19483821665199919,9.866138301525154,,11.553525828696996,-0.23364823274423707
9,1,12.84289107077527,0.07660060406092184,10.629145031238881,,12.412984525985527,-0.4240154123855546
10,7,11.881909231675191,0.2047566210639169,9.597729342773087,,11.392490026782422,0.030645311901507433
10,6,11.881909231675191,0.2047566210639169,9.597729342773087,,11.392490026782422,0.030645311901507433
10,5,11.881909231675191,0.2047566210639169,9.597729342773087,,11.392490026782422,0.030645311901507433
10,4,11.881909231675191,0.2047566210639169,9.597729342773087,,11.392490026782422,0.030645311901507433
10,3,11.883435908876056,0.20455225021590662,9.597867001734123,,11.394087549567871,0.03037343546845983
10,2,11.960595786690106,0.1941889322610263,9.614328604124282,,11.447994024837309,0.021176947330103557
