Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
1,7,4.769488159203976,,5.145427825993105,0.8508465522920092
1,6,5.399628390191901,,6.822650304615348,0.7377614474473939
1,5,5.979816148155323,,6.824188403360339,0.7376431959656242
1,4,5.965525517515233,,7.119754582930933,0.7144248835067768
1,3,6.099290539252579,,7.537597485391873,0.6799217241301622
1,2,7.979254401821831,,12.12576215476556,0.17166043480341553
1,1,8.406157326366516,,14.038964013495127,-0.11035137979868148
2,7,5.180957487562195,,5.604911743396108,0.8285161744071272
2,6,5.594354452144046,,5.425074898018202,0.8393439505593988
2,5,6.334588721866859,,6.246220365555065,0.787029127260136
2,4,6.25171932405074,,6.093999238501961,0.7972828938720364
2,3,6.2152650291851606,,7.4248280702342635,0.6990749026292215
2,2,9.006452038459047,,8.888327398855953,0.5687533908510705
2,1,10.520711134069968,,11.776741570808813,0.24293024472960123
3,7,5.157585074626875,,5.796222428888222,0.8727937210547074
3,6,5.444958669988803,,6.58089905824621,0.8360207403197801
3,5,6.005187523394934,,7.498405168571839,0.7871095061875193
3,4,5.885638932421232,,7.354630162299654,0.7951951959113591
3,3,6.103793367496939,,9.23895046924792,0.676805664653904
3,2,8.441988220881528,,13.630331006178112,0.2965531847118539
3,1,10.081758699629447,,13.98176914166437,0.2598108466580137
4,7,4.910066766169153,,7.580800327045246,0.7566517931067405
4,6,5.4263877452025575,,7.862924188940121,0.7382020679390597
4,5,5.824097394790116,,8.130505089316177,0.7200805430462933
4,4,5.880448008469547,,8.340949951676825,0.705402494227592
4,3,6.140755477105811,,10.3927249376621,0.5426413460526338
4,2,8.481691602516467,,12.868036041172568,0.2988312174646536
4,1,8.984366675916457,,14.652961067272248,0.09082219244252476
5,7,5.093461194029857,,5.15351042307292,0.7974696299860076
5,6,5.856707858919693,,5.975849406225236,0.7276777493297464
5,5,6.06635781694881,,6.209885792722267,0.7059297676165142
5,4,6.056632226960438,,5.878322687498847,0.7364938934105765
5,3,6.055602151282268,,7.0322157899202065,0.6228898544010253
5,2,8.039791199156223,,9.96354297389009,0.24297288495803393
5,1,9.251997483027024,,12.260638540188443,-0.1463309462256166
6,7,5.03555490049751,,6.161692437562258,0.6898842735834009
6,6,5.521019385216765,,7.249514112635131,0.5707191091686066
6,5,5.799396209234377,,7.844081794957821,0.49741677983849764
6,4,5.778398833167235,,8.179162218499105,0.4535613613605941
6,3,5.944529429906735,,10.677321809046433,0.0687883042323808
6,2,9.11826293029731,,11.481365548316349,-0.0767399976928207
6,1,9.84463591849745,,12.902034333167128,-0.359690752305206
7,7,4.910691791044782,,6.154094703911049,0.6810630223542299
7,6,5.008646636460554,,7.0942570580381,0.5761712963347787
7,5,5.751658435797206,,7.338876256996008,0.5464390524363257
7,4,6.003784568822555,,7.266419938876185,0.5553508057106713
7,3,5.601289928711422,,9.496625652985658,0.24052206345646543
7,2,8.038279664540475,,12.24473274353091,-0.26262721227210206
7,1,8.819141732192039,,14.056484882693951,-0.6639105817818365
8,7,5.356867761194029,,4.670030560730956,0.8526049235728945
8,6,5.724996791537646,,4.957049361024223,0.8339304463268847
8,5,6.463241062652104,,5.615219358976624,0.7869031721987028
8,4,6.558492232102475,,5.768192335670729,0.7751344125879672
8,3,6.324297581730042,,6.148380363811809,0.7445152481326651
8,2,7.846990871753663,,8.457117190771896,0.5166204992973173
8,1,9.624240149369358,,9.350230590563067,0.40913512394537055
9,7,5.120930572139302,,5.174072743557575,0.7525842614937539
9,6,5.351544754797448,,6.675218592479668,0.5881934539227542
9,5,5.977975541817231,,6.805986752132789,0.5719007563009555
9,4,5.857737476781102,,6.647758682808576,0.5915745900269802
9,3,5.858589059333854,,6.622686659540246,0.5946495335355895
9,2,8.528973292970196,,11.263347486222827,-0.17245781917033098
9,1,10.522592091102311,,10.541964979110169,-0.027082666766117036
10,7,5.2671601492537325,,4.032104853648635,0.8785747418499098
10,6,5.844150821810864,,5.972548957135314,0.7335812185319623
10,5,6.244032455005609,,5.600931693813723,0.7657034177758094
10,4,6.31149798152097,,5.388194340207543,0.7831637421493776
10,3,6.465159030299401,,5.156466148896836,0.8014134902334126
10,2,8.394101515037006,,7.284007025566181,0.6037346370054029
10,1,10.392211524191644,,10.335195212080375,0.2022206899061444
