Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2,Selected_Features
9,4,3.753457391,0.921127253,5.853669798,,8.045306972,0.401798496,"time, temperature, PI-content, Sizing agent-content"
9,5,3.044012992,0.948125134,5.622138426,,8.118538318,0.390858832,"time, temperature, PI-content, CF-content, Sizing agent-content"
9,2,8.938479952,0.552707796,8.418210795,,8.301358181,0.363115664,"temperature, PI-content"
7,4,3.047935106,0.947902709,3.994716364,,9.088536029,0.304392285,"time, temperature, pressure, PI-content"
6,2,8.755579382,0.570485344,8.009113305,,9.281199969,0.296389977,"temperature, PI-content"
7,3,4.685463052,0.876885631,5.935606735,,9.66268039,0.213729913,"time, temperature, PI-content"
5,2,8.479603763,0.586526629,8.190807693,,10.29022011,0.192517409,"temperature, PI-content"
2,1,11.96098058,0.138710374,9.620014578,,12.31060149,0.17273595,temperature
3,1,11.09478457,0.153735424,8.709820324,,15.11335386,0.135151246,temperature
4,1,11.21061357,0.169786451,8.986592521,,14.96797948,0.051309846,temperature
10,1,12.17426955,0.165140435,9.576797485,,11.44673447,0.021392324,temperature
6,1,12.31132,0.15078541,9.959759528,,10.95360608,0.019973105,temperature
8,1,11.93948303,0.18415949,9.393842268,,12.40881896,-0.040649376,temperature
7,2,8.509795601,0.593891608,7.634653867,,11.27628899,-0.070801371,"temperature, PI-content"
1,1,10.23361827,0.337225228,8.642938713,,13.99093583,-0.10276721,PI-content
9,1,12.32299986,0.149847424,9.848870367,,11.02380964,-0.123118736,temperature
5,1,10.80855713,0.328212572,9.379916739,,12.35765296,-0.164543801,PI-content
7,1,10.44225509,0.388505855,8.947736359,,14.39941511,-0.746088401,PI-content
