Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
1,7,9.090840216668422,,12.270514944705655,0.15176557809393743
1,6,8.682808612906134,,12.49100071940899,0.12100828476879466
1,5,8.68999028736517,,12.6480827043173,0.0987615572982885
1,4,8.689974382621728,,12.648105545960577,0.09875830213525949
1,3,9.644206802055823,,14.570081737451918,-0.19595349217486469
1,2,9.65396907071254,,14.571687679805555,-0.1962171472796974
1,1,9.663731339369253,,14.573326139929094,-0.19648617092718612
2,7,9.204941827266037,,12.465892890680628,0.1517333581498358
2,6,9.204935802202177,,12.465977890052624,0.15172179020547905
2,5,9.277861281198694,,12.72125774011524,0.11662376772609695
2,4,9.33416327364532,,12.302133879917346,0.17387359289277227
2,3,10.680027694339987,,13.441086883560438,0.013824103883587346
2,2,10.687383248233488,,13.464426074146434,0.010396325991609223
2,1,10.697014919715146,,13.478422373059225,0.00833786650552304
3,7,8.293072080928017,,15.071977349278388,0.13988023389141113
3,6,8.248601740746833,,15.093577286113439,0.13741315942446475
3,5,8.352061443365956,,15.021831635101261,0.1455940918967159
3,4,8.350660903672663,,15.026961005105893,0.14501049964502766
3,3,9.736706803052192,,16.252829917033825,-0.00017603368987595402
3,2,9.726543640749185,,16.27383314775161,-0.0027627218584034274
3,1,9.713805893695165,,16.290764234560086,-0.004850330145020676
4,7,9.079953308896744,,14.94632621967322,0.05405268489268267
4,6,8.65588250067184,,14.946311129903613,0.05405459494330378
4,5,8.650407464301413,,14.94663907473733,0.05401308352162937
4,4,8.751385486271154,,14.759159029177484,0.07759582609788529
4,3,10.025121014592267,,15.449475391183627,-0.010707547436025422
4,2,10.022672449329404,,15.467369691821261,-0.013050200273116763
4,1,10.021156765098002,,15.477538079346752,-0.014382614670386706
5,7,9.708308369676937,,10.175767088651485,0.2103799734383135
5,6,9.708427618535486,,10.17599487072371,0.21034462213802751
5,5,9.615930944165656,,10.32311690446159,0.18734627622084365
5,4,9.517770238790082,,10.312725800857459,0.18898146433794227
5,3,10.518870981516143,,12.3133785998246,-0.1562142151346788
5,2,10.528204145695248,,12.316232429826556,-0.15675022093716984
5,1,10.537537309874354,,12.319179279586583,-0.15730382804565246
6,7,9.714157817407235,,10.804900458199267,0.04640207418434372
6,6,10.12916121395699,,11.0303947124118,0.006184274694561065
6,5,10.129306420904092,,11.030637500275255,0.006140524845465123
6,4,11.53730112718753,,11.820930241144092,-0.141371610735197
6,3,10.808460498027742,,11.781509804562548,-0.13377181201492805
6,2,10.831133211189638,,11.80762668511213,-0.13880400285996397
6,1,10.855522304417482,,11.820285095352183,-0.14124702984640192
7,7,9.301284092175223,,9.32888714172306,0.267114377016901
7,6,9.250825075580064,,9.328786846968832,0.26713013542134834
7,5,9.250871864772625,,9.329056080074757,0.26708783288396887
7,4,9.638292626834943,,9.82091404896553,0.18776753493262932
7,3,10.436016461896271,,11.834892389119341,-0.17951956956728043
7,2,10.457019399365782,,11.851369169522775,-0.18280615857438853
7,1,10.478022321266915,,11.86805787912358,-0.18613968172709083
8,7,10.018325089359907,,11.623720776415551,0.08686735544526836
8,6,9.876012867103343,,11.970430781076786,0.03158146993541189
8,5,9.878276291002635,,11.97476734407904,0.030879679206718635
8,4,11.330383717882217,,11.999236918153574,0.026914977483447178
8,3,11.3203185113817,,12.00975620095174,0.02520809504810495
8,2,11.310252252974752,,12.023740960440865,0.02293658059949455
8,1,10.472462677323996,,12.3083934923319,-0.02387343545574283
9,7,10.665762400013524,,10.646877074506214,-0.04762714171954974
9,6,10.666023524466786,,10.646867464455145,-0.047625250508499084
9,5,9.666970089918259,,10.803503829458043,-0.07867725725419539
9,4,9.474045643327905,,10.79614378280418,-0.07720802824415562
9,3,10.531791040861787,,11.983255366740925,-0.3271251837584235
9,2,10.542906712503578,,11.990641011483973,-0.32876158311268444
9,1,10.555746264742384,,11.993562898464203,-0.3294092489396838
10,7,9.213644458164287,,11.105306643238102,0.07890057593869937
10,6,8.89509829473256,,11.154643610901442,0.07069815517354117
10,5,8.895174888634894,,11.155039237887625,0.07063223403417052
10,4,9.462096922838354,,11.36115496225806,0.035970402143827185
10,3,10.807425369575837,,11.49221750761189,0.013599973955831901
10,2,10.815361936740018,,11.51001940528802,0.010541662063494162
10,1,10.824776115844495,,11.523880951070685,0.008157012598184799
