learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.01,3,0.6,100,1,0.6,12.245278838981848,0.385177711151589,15.048318234519389,-0.5224716288826641,8.098905996933,0.5906382210128431
0.01,3,0.7,100,1,0.6,12.068637257968051,0.40278889510646626,15.008054605010383,-0.5126863331594047,7.952925166639022,0.6052625176440777
0.01,3,0.8,100,1,0.6,11.870092524603965,0.42220310510603126,15.020167231109975,-0.5144072517011257,8.043503344017974,0.5962197539516083
0.01,3,0.9,100,1,0.6,11.655932293524266,0.4421319763911895,14.999900880749433,-0.49914229751895817,7.650814034932014,0.6346830133346875
0.01,3,0.6,100,3,0.6,13.4110806444735,0.26202601728300945,15.32003983313231,-0.5882991629602214,9.584244589795732,0.42671529955521914
0.01,3,0.7,100,3,0.6,13.27552206284966,0.27692472752591685,15.294381675125933,-0.5797474950716983,9.368584808941762,0.4522245553001275
0.01,3,0.8,100,3,0.6,13.111642864111317,0.2946971813892454,15.269598176103816,-0.5726510428182994,9.228022457909686,0.4685384369342993
0.01,3,0.9,100,3,0.6,12.934546848346631,0.3130774751618354,15.269713825428417,-0.5678055862121417,9.041384137888565,0.48981883918472846
0.01,3,0.6,100,5,0.6,13.907008882537639,0.2058207342350354,15.464659182820835,-0.631793429622511,10.339064955288645,0.3328598127390765
0.01,3,0.7,100,5,0.6,13.7912857975256,0.21906279948246143,15.448095790338433,-0.6259611075814899,10.16452261071391,0.3551947757558195
0.01,3,0.8,100,5,0.6,13.65568979180443,0.23442234909665274,15.44402962092324,-0.6242210034324586,10.09069611186889,0.3645274001002715
0.01,3,0.9,100,5,0.6,13.519420684364016,0.24929911869744886,15.445321259340691,-0.6193079695710169,9.98156177086584,0.37819877627540754
0.01,3,0.6,100,10,0.6,14.499690218386338,0.1355723631963288,15.6089026435363,-0.6801359979512436,11.262076813784324,0.20842595575218448
0.01,3,0.7,100,10,0.6,14.411095123781024,0.14621109482206882,15.599158798656424,-0.6749223590908412,11.137284961559068,0.22587117572061732
0.01,3,0.8,100,10,0.6,14.313397331447547,0.1579053058639137,15.587497006049025,-0.6710912045565445,11.052185734804556,0.23765610909579094
0.01,3,0.9,100,10,0.6,14.218076679305264,0.16897701489223232,15.595215412571932,-0.6676801765892051,10.964099772981768,0.24975945162842983
0.01,3,0.6,200,1,0.6,9.888753879607387,0.5994511552155324,14.313046709113006,-0.32946029671227645,5.6878989652563945,0.798089770849996
0.01,3,0.7,200,1,0.6,9.590056429454355,0.6233760397554547,14.290447071646664,-0.3267762538389208,5.827875136347742,0.7880296818804324
0.01,3,0.8,200,1,0.6,9.269183068274089,0.6482479037519417,14.302521034964954,-0.32473535008242954,6.019061329729607,0.7738939870575814
0.01,3,0.9,200,1,0.6,9.006595462180547,0.6673925011030918,14.256091391264079,-0.3104633551724634,6.699682936217426,0.7198677721515379
0.01,3,0.6,200,3,0.6,11.77063926977363,0.43264961217643305,14.891694721382432,-0.47039256305869814,6.975470334530604,0.696330225413943
0.01,3,0.7,200,3,0.6,11.530967675318283,0.45554947175113175,14.842840787982704,-0.45833231826237136,6.683558563647315,0.7212145585267646
0.01,3,0.8,200,3,0.6,11.243739976226202,0.4824681252731538,14.78828367758003,-0.4445906814217032,6.591388699043168,0.728850741548495
0.01,3,0.9,200,3,0.6,10.9881927955764,0.5053356058430507,14.762865325245013,-0.4382911820429616,6.8150089811687,0.710140565930272
0.01,3,0.6,200,5,0.6,12.589397142560852,0.3506007435603392,15.161526371533776,-0.5421173236255857,8.21039567551695,0.5792900831213178
0.01,3,0.7,200,5,0.6,12.375370618096762,0.3726174077532113,15.1218687151691,-0.5296557982851031,7.887285334675317,0.6117515954899415
0.01,3,0.8,200,5,0.6,12.137729895441698,0.3966474448899824,15.09333385081552,-0.5237425161111806,7.739544230853363,0.6261603615393624
0.01,3,0.9,200,5,0.6,11.932572614156989,0.4166204748432419,15.051107367125434,-0.5123128583863803,7.7751247515218465,0.6227152016045148
0.01,3,0.6,200,10,0.6,13.591426266074237,0.24201607802594874,15.415344645804712,-0.6174534203675879,9.791464323765405,0.40165747939000274
0.01,3,0.7,200,10,0.6,13.419346568484439,0.2612595998317041,15.401609038729072,-0.6100572636992011,9.506582574077003,0.4359684149710522
0.01,3,0.8,200,10,0.6,13.23904093997408,0.2812305397780118,15.37296675934024,-0.6023016584389476,9.343567845426785,0.4551461025998341
0.01,3,0.9,200,10,0.6,13.087595591694457,0.2975567665136504,15.362687756836237,-0.5977035246663848,9.315652824423454,0.4583968710394408
0.01,3,0.6,300,1,0.6,8.168712098923725,0.7266635958277753,13.93150781104453,-0.2467935795066119,5.719020463382267,0.7958742112170991
0.01,3,0.7,300,1,0.6,7.810996494524164,0.7500453139234377,13.924075735166358,-0.2486258538139144,6.286494387980892,0.7533553842201618
0.01,3,0.8,300,1,0.6,7.410770919871732,0.7750881652555479,13.845601827929036,-0.22961354232481357,7.0890124858578885,0.686363890885384
0.01,3,0.9,300,1,0.6,7.122793709989052,0.7917181622953294,13.746125378090287,-0.2087794959503384,8.654990439156325,0.5324933854974014
0.01,3,0.6,300,3,0.6,10.483117100909778,0.5502277160097616,14.606943044569766,-0.4005007746600121,5.577627488653438,0.805842761437903
0.01,3,0.7,300,3,0.6,10.176882691378173,0.5760406613184419,14.572135893423944,-0.393371394876547,5.509329231542891,0.8105685746079351
0.01,3,0.8,300,3,0.6,9.789081080900754,0.6078661092911215,14.46632338069098,-0.3688241294997766,5.868617170123204,0.7850556000147919
0.01,3,0.9,300,3,0.6,9.470929572940168,0.6326130557961509,14.3890122356735,-0.35139128764997896,6.593271538288685,0.7286958111065551
0.01,3,0.6,300,5,0.6,11.526990595811913,0.4561773160133228,14.95790568958937,-0.48693955419855606,6.6952913387301365,0.7202349014012397
0.01,3,0.7,300,5,0.6,11.246286565563997,0.48238048850361065,14.914838353153144,-0.4755164402503894,6.263035494734113,0.7551927243086507
0.01,3,0.8,300,5,0.6,10.919588816385698,0.5121327368182202,14.845846151307693,-0.4609574591239743,6.3258112962089985,0.7502606139090304
0.01,3,0.9,300,5,0.6,10.656120653797597,0.5351383478452412,14.779143322186986,-0.4465589183234663,6.605648231177603,0.7276762868134663
0.01,3,0.6,300,10,0.6,12.826407996310298,0.3259161231484434,15.314474112508512,-0.5839399955143003,8.656438577242463,0.5323369276070868
0.01,3,0.7,300,10,0.6,12.59434456050933,0.3502577259494717,15.312004453376733,-0.5804891634107288,8.174991416422646,0.5829105684419716
0.01,3,0.8,300,10,0.6,12.340912997470422,0.37635077837293884,15.261153629229398,-0.5688468380565227,8.060434350912606,0.5945181070663432
0.01,3,0.9,300,10,0.6,12.147281119527946,0.3956771509141324,15.22433861419132,-0.5590445054230537,8.060709791614704,0.594490394384698
0.01,3,0.6,400,1,0.6,6.909045839264918,0.8042954929748136,13.561948866139696,-0.17842454287103465,6.770178787329994,0.7139415043809096
0.01,3,0.7,400,1,0.6,6.513051762523574,0.8260314351885183,13.506908304273287,-0.17241516818380137,7.548557884218973,0.6443829669450322
0.01,3,0.8,400,1,0.6,6.119175908404028,0.846432668451369,13.37117084411113,-0.14567283699598377,8.558609127580887,0.5428476463726948
0.01,3,0.9,400,1,0.6,5.791086112485442,0.8619308395744637,13.367263631382158,-0.14332242355991318,10.638262951601119,0.29368892423608606
0.01,3,0.6,400,3,0.6,9.452454755264784,0.6341860642546477,14.269551379520873,-0.327165365273437,5.130901559985522,0.8356983443110582
0.01,3,0.7,400,3,0.6,9.080577003300073,0.6622777747205844,14.18188755092493,-0.31112253296349035,5.57625895284276,0.8059380272249265
0.01,3,0.8,400,3,0.6,8.669803079871777,0.6921520816634436,14.050950462397903,-0.28255040084345606,6.327927482220806,0.7500934943507878
0.01,3,0.9,400,3,0.6,8.28165478315484,0.7187511780655808,14.052511326389126,-0.2795755858172816,7.523214700757321,0.6467668232590669
0.01,3,0.6,400,5,0.6,10.624207735524923,0.5381688381348277,14.67032778925709,-0.4170803442514524,5.684882457241273,0.7983038753281138
0.01,3,0.7,400,5,0.6,10.288813073424027,0.5667747666146374,14.600363425373654,-0.4046264017267408,5.468739343367024,0.8133495578321437
0.01,3,0.8,400,5,0.6,9.932169912340528,0.5962970087843191,14.518848113331277,-0.38820262179814835,5.7710042901001115,0.7921464869099735
0.01,3,0.9,400,5,0.6,9.606629498918357,0.6220503236830994,14.522401290848032,-0.38849792747959266,6.315716139336186,0.7510570798308308
0.01,3,0.6,400,10,0.6,12.13322768941438,0.3974413265565619,15.130964341265042,-0.531441782597715,7.6760005746805895,0.6322738015143536
0.01,3,0.7,400,10,0.6,11.854530102313154,0.42484756906615606,15.08465441451241,-0.5206778445161788,7.225991077173926,0.6741262210787489
0.01,3,0.8,400,10,0.6,11.56991093644686,0.45222247212653083,14.98169515561437,-0.49720276378868056,7.123136980679136,0.6833371128623074
0.01,3,0.9,400,10,0.6,11.329801032390382,0.47458920997029425,15.00269792919821,-0.5010828124276725,7.05609979901753,0.6892694138458724
0.01,4,0.6,100,1,0.6,12.23660341863759,0.3859806505172948,15.063662551895135,-0.527036307660432,8.118583061017134,0.5886466376550338
0.01,4,0.7,100,1,0.6,12.059969619125614,0.4035936282599578,15.010644971159627,-0.5128158644472074,7.974921928068496,0.6030759123392234
0.01,4,0.8,100,1,0.6,11.8506853718727,0.42396116688867025,15.00704498319207,-0.5095657888921103,8.089455901710435,0.5915929798003282
0.01,4,0.9,100,1,0.6,11.623180420809273,0.44504700930249125,15.008220754870887,-0.5017315861920929,7.750082426227921,0.6251416252634856
0.01,4,0.6,100,3,0.6,13.410189238764266,0.2621030727405973,15.323131775388314,-0.5894792096054969,9.565986452208097,0.4288974519061234
0.01,4,0.7,100,3,0.6,13.27465355919272,0.27699429020276567,15.30049836162778,-0.58175225371695,9.355146787907671,0.4537948540986332
0.01,4,0.8,100,3,0.6,13.10988525788242,0.29487657584727095,15.286634129377711,-0.5775399251299355,9.212957797214354,0.4702722326768429
0.01,4,0.9,100,3,0.6,12.927755222471651,0.31373863561064985,15.296331473800052,-0.5756292202481381,8.996862332555239,0.494830961467009
0.01,4,0.6,100,5,0.6,13.907176210032825,0.20579155148493644,15.465531903904028,-0.6322587861185681,10.34437354904287,0.33217455049187905
0.01,4,0.7,100,5,0.6,13.791323174304344,0.21905100414816542,15.44983982774138,-0.6266891590749994,10.149649138376274,0.35708044737624
0.01,4,0.8,100,5,0.6,13.654904461674738,0.2345023692372991,15.450407402616197,-0.6261982208986071,10.09368284945587,0.36415115830864964
0.01,4,0.9,100,5,0.6,13.515969011992983,0.24964813137453032,15.4565339919428,-0.6226040310928476,9.969024606686467,0.3797598001772272
0.01,4,0.6,100,10,0.6,14.499842551977334,0.1355445252707521,15.610093215224278,-0.6805511949613237,11.259241762435952,0.2088244383115564
0.01,4,0.7,100,10,0.6,14.410875376450926,0.14623529413751654,15.598325428124394,-0.6746538118026681,11.13247857665051,0.2265391945867854
0.01,4,0.8,100,10,0.6,14.312797126587403,0.15796969193581362,15.585892362394892,-0.6706751877074268,11.048228866721981,0.23820187521019442
0.01,4,0.9,100,10,0.6,14.21790282388057,0.168995443247895,15.596494353205042,-0.6680850620534061,10.967951231699104,0.249232271454226
0.01,4,0.6,200,1,0.6,9.885707687134275,0.5996841179728779,14.345150207112102,-0.33727499946382233,5.746560171506639,0.7939035591144767
0.01,4,0.7,200,1,0.6,9.587371143906072,0.6235658947623011,14.314065641071753,-0.3324221618095313,5.836955935994427,0.7873685971553928
0.01,4,0.8,200,1,0.6,9.25776546217549,0.649034771803634,14.322049978943696,-0.329683439279748,5.992257638489614,0.7759032643749302
0.01,4,0.9,200,1,0.6,8.980682929378748,0.6691699009948947,14.307911740974589,-0.32389032874880125,6.515634463224749,0.7350475142059748
0.01,4,0.6,200,3,0.6,11.771626114480698,0.4325534993005743,14.889810050609068,-0.47111107257515317,6.9650124335223405,0.6972400903222002
0.01,4,0.7,200,3,0.6,11.532990777955039,0.4553589489171843,14.85427473915646,-0.4615983536646466,6.666794801574444,0.7226113089905507
0.01,4,0.8,200,3,0.6,11.245239044429443,0.48233393911502953,14.809629215972766,-0.4505016864817234,6.572679469684696,0.7303878361476102
0.01,4,0.9,200,3,0.6,10.986537968210715,0.5054678997299509,14.796872423316525,-0.4479203508952703,6.763056697947538,0.7145430431648823
0.01,4,0.6,200,5,0.6,12.589995477289055,0.35053423824245894,15.161040260777545,-0.5420242336299402,8.216330304461248,0.57868166917875
0.01,4,0.7,200,5,0.6,12.37648179421852,0.37250122466071617,15.125658383583566,-0.530874872180448,7.87044046156184,0.6134081886269702
0.01,4,0.8,200,5,0.6,12.138684689974164,0.3965565448406333,15.103310675701469,-0.5267286320722224,7.751664036488363,0.6249886100268648
0.01,4,0.9,200,5,0.6,11.93172973591643,0.4166924135815453,15.06470161569772,-0.5163319751884167,7.77314188185705,0.6229076129707122
0.01,4,0.6,200,10,0.6,13.592061122196332,0.24193886308909035,15.416925176468231,-0.617975269752221,9.788530114894947,0.40201603635632144
0.01,4,0.7,200,10,0.6,13.419581804519524,0.2612316340165187,15.401107736191411,-0.609938451563124,9.502560468507776,0.43644558216672136
0.01,4,0.8,200,10,0.6,13.238434256286322,0.2812903799216035,15.371217410281167,-0.6018638309316877,9.341026157928335,0.45544249044770324
0.01,4,0.9,200,10,0.6,13.087233143072362,0.29759187508483115,15.364333423297358,-0.598200369704313,9.327050814856655,0.45707072375979296
0.01,4,0.6,300,1,0.6,8.168907504234676,0.7266585301776068,13.97800845223864,-0.2564216551867282,5.743965472659213,0.7940896312877765
0.01,4,0.7,300,1,0.6,7.813540564888063,0.74989466626649,13.972231205168807,-0.25874402434637794,6.282083318520255,0.7537013909979551
0.01,4,0.8,300,1,0.6,7.4065152289576535,0.7753182425106692,13.8918655581604,-0.23943975103502915,6.905890685540927,0.7023581645380852
0.01,4,0.9,300,1,0.6,7.113419837434843,0.7922429228025945,13.84527563019257,-0.22969344058767321,7.977749966449933,0.6027943508152468
0.01,4,0.6,300,3,0.6,10.482608711280745,0.5502631556337028,14.60595028925197,-0.4010970322345527,5.575184125860391,0.8060128311191165
0.01,4,0.7,300,3,0.6,10.18033153397953,0.5757597900726382,14.58885617294798,-0.3977187951085697,5.49513183988489,0.8115436359008751
0.01,4,0.8,300,3,0.6,9.793658820139502,0.6075214669066118,14.493654398739789,-0.3759000788748546,5.820999726980194,0.7885295289109298
0.01,4,0.9,300,3,0.6,9.47385720785547,0.6324131106034243,14.430316706729858,-0.3621666291827588,6.498305309677374,0.736454989296091
0.01,4,0.6,300,5,0.6,11.527986511255095,0.4560812887433158,14.958593693643042,-0.48715259376792075,6.707454171715509,0.7192175216503917
0.01,4,0.7,300,5,0.6,11.24883992235522,0.4821514863755615,14.920790181143522,-0.47721055709621796,6.260877182947588,0.7553614218636393
0.01,4,0.8,300,5,0.6,10.922781551089573,0.5118686234943682,14.854433890911233,-0.464211676092546,6.349371879546258,0.748396833003107
0.01,4,0.9,300,5,0.6,10.657994703749882,0.5349852714130303,14.791510084082205,-0.45024498843693406,6.611416503627519,0.7272004748504194
0.01,4,0.6,300,10,0.6,12.827198063576688,0.325831494261391,15.316056219131145,-0.5844534127867443,8.654833307978432,0.5325103604897357
0.01,4,0.7,300,10,0.6,12.595047195115345,0.3501827749366013,15.311720944600932,-0.5804485916500329,8.172886175879754,0.5831253602319446
0.01,4,0.8,300,10,0.6,12.34045457772321,0.3763880897306266,15.25968661627424,-0.5684731693969023,8.0694063335359,0.5936149296356459
0.01,4,0.9,300,10,0.6,12.147149167710811,0.39568690766307213,15.226764964842307,-0.5597625176436564,8.094260951880717,0.5911076569126297
0.01,4,0.6,400,1,0.6,6.91111994188424,0.8042062512093967,13.633025218446758,-0.19152712799208318,6.777264753657181,0.7133423882555263
0.01,4,0.7,400,1,0.6,6.519707980009277,0.8257270347181613,13.577224165218734,-0.185558061278252,7.515997329084314,0.6474442443718648
0.01,4,0.8,400,1,0.6,6.124018536213116,0.8462214530630394,13.431878647508139,-0.15621614219918994,8.209684468938583,0.5793629660158902
0.01,4,0.9,400,1,0.6,5.80376716274983,0.8614059998151437,13.466601012646635,-0.1611057389379343,9.703279479797908,0.4123866476925503
0.01,4,0.6,400,3,0.6,9.451696229589697,0.6342498414660502,14.268974153358917,-0.3275397137753857,5.139615000352527,0.8351398271453714
0.01,4,0.7,400,3,0.6,9.084970083652433,0.6619728697176133,14.213237822584773,-0.3184331225308914,5.564178370758666,0.8067779602841526
0.01,4,0.8,400,3,0.6,8.678112583707243,0.69160770240274,14.087933389296586,-0.2911436309926894,6.246621396988108,0.7564742195224763
0.01,4,0.9,400,3,0.6,8.291981974955439,0.7181288099712774,14.105906145935625,-0.292161198065367,7.371045728799229,0.6609117148993207
0.01,4,0.6,400,5,0.6,10.624831866879118,0.5381165016181411,14.674214921226678,-0.4180097522484484,5.698211620444945,0.7973569455246876
0.01,4,0.7,400,5,0.6,10.291526925838722,0.5665561441407453,14.609458688106804,-0.4069305768764595,5.4659172598262495,0.8135421459946498
0.01,4,0.8,400,5,0.6,9.937339636836729,0.5959071321168956,14.532707424417179,-0.3925472571968524,5.775859477074469,0.7917966025125449
0.01,4,0.9,400,5,0.6,9.612565413702113,0.6216236524322607,14.534508817801816,-0.3918895029675581,6.2867144943714575,0.7533381125888953
0.01,4,0.6,400,10,0.6,12.13396615108905,0.3973692443057522,15.132341410037716,-0.5319012295413661,7.674844165584325,0.6323845909508148
0.01,4,0.7,400,10,0.6,11.855287773864882,0.424774780899721,15.084694574709152,-0.5207107566937775,7.223504936161449,0.6743504197489832
0.01,4,0.8,400,10,0.6,11.570132971167956,0.4521997342855162,14.982358631787614,-0.49740530070193734,7.138700843475154,0.68195180128992
0.01,4,0.9,400,10,0.6,11.330965115064412,0.4744894947844215,15.005768591513297,-0.5020057884598732,7.102789735790974,0.6851436244602322
0.01,5,0.6,100,1,0.6,12.236159393618912,0.3860134869917774,15.062932534302004,-0.5268564548231686,8.158313813009029,0.5846106207933992
0.01,5,0.7,100,1,0.6,12.059279439345866,0.4036492439226992,15.007201582509555,-0.5121812747130602,7.999268950455704,0.6006486355688816
0.01,5,0.8,100,1,0.6,11.850572740597489,0.423965844032934,15.004222507740838,-0.5092336474978333,8.12016092071586,0.5884867277396644
0.01,5,0.9,100,1,0.6,11.623084518414348,0.4450511999066763,15.00855345213412,-0.5021143171700688,7.805402555450036,0.6197710436989695
0.01,5,0.6,100,3,0.6,13.410360808242581,0.26208195778964094,15.323523187233238,-0.5896282626971723,9.575564745030489,0.42775320482257595
0.01,5,0.7,100,3,0.6,13.274706695576219,0.2769888436406891,15.300804234424357,-0.5818626306892483,9.361782574793006,0.4530197114973571
0.01,5,0.8,100,3,0.6,13.110025347240944,0.2948624862498333,15.287366748648651,-0.5778036725729706,9.225110011148363,0.4688738520802731
0.01,5,0.9,100,3,0.6,12.92792491277281,0.3137218401692641,15.296463566678565,-0.5758357979794434,9.026056039139704,0.49154722021043395
0.01,5,0.6,100,5,0.6,13.907311474126516,0.20577407037165069,15.465693261105113,-0.6323279126628585,10.34227922957734,0.33244493868845826
0.01,5,0.7,100,5,0.6,13.791371217421906,0.21904589893591675,15.450075767153587,-0.6267795783069315,10.153174579965604,0.3566337385409655
0.01,5,0.8,100,5,0.6,13.655027365215853,0.23448951271933796,15.451067104137499,-0.6264493847929371,10.100502516354572,0.363291661881443
0.01,5,0.9,100,5,0.6,13.516185290310114,0.24962609515299122,15.458693259355837,-0.6232342823726882,9.979097338305754,0.37850578194140994
0.01,5,0.6,100,10,0.6,14.499933581439596,0.1355319923956284,15.610192761066525,-0.6805983518997636,11.260298072992141,0.20867597959328144
0.01,5,0.7,100,10,0.6,14.41088753508233,0.14623395216744986,15.598434718871076,-0.6746984900913698,11.134442419051032,0.22626628337636845
0.01,5,0.8,100,10,0.6,14.312832050572709,0.15796590060059337,15.586580705590881,-0.6708827829525622,11.050059952307173,0.23794934004356183
0.01,5,0.9,100,10,0.6,14.217916870569407,0.16899392391065754,15.59653240765896,-0.6681003695198395,10.970980697190338,0.24881747401617071
0.01,5,0.6,200,1,0.6,9.885024365360952,0.5997358413805851,14.344584348067027,-0.337019820298468,5.804659944015745,0.7897150750591808
0.01,5,0.7,200,1,0.6,9.586849386828726,0.6236003039060272,14.312424088780313,-0.3321907315278854,5.874474797162097,0.7846263021254125
0.01,5,0.8,200,1,0.6,9.257102715350666,0.6490777091312505,14.318729890775382,-0.32912408629525436,6.040679276807304,0.7722669142354034
0.01,5,0.9,200,1,0.6,8.980198983327812,0.6691991486456815,14.311156521652773,-0.32483919391451266,6.590102688576031,0.7289565361796042
0.01,5,0.6,200,3,0.6,11.771744003326408,0.4325420554558771,14.890202154164333,-0.47122000461274893,6.983767757364127,0.6956073565616879
0.01,5,0.7,200,3,0.6,11.53310669143649,0.4553484652405162,14.854616383590564,-0.4617001330025186,6.676014850231438,0.7218435320253027
0.01,5,0.8,200,3,0.6,11.245159328448466,0.48233984271287395,14.809911180191216,-0.45058536360143203,6.597076940229642,0.7283825464641095
0.01,5,0.9,200,3,0.6,10.986720023004128,0.5054509420930989,14.796845764306084,-0.44802519463808216,6.81209583015425,0.7103883202125505
0.01,5,0.6,200,5,0.6,12.590109524139606,0.3505219458219192,15.161195421580178,-0.5420728176034819,8.21908135212965,0.5783994845994973
0.01,5,0.7,200,5,0.6,12.376582800245856,0.3724914654180352,15.125924477308743,-0.530962332277872,7.875107658820164,0.6129495522319794
0.01,5,0.8,200,5,0.6,12.138929085140978,0.39653356385540045,15.10382588581361,-0.526898299059863,7.760789244887587,0.6241051684119747
0.01,5,0.9,200,5,0.6,11.932249680478623,0.4166456260795249,15.067016740048421,-0.5169768804545349,7.789612581989466,0.6213078593530801
0.01,5,0.6,200,10,0.6,13.592146796913559,0.24192851298556567,15.417009739249997,-0.6180088302376108,9.790482818329384,0.40177743019257883
