learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.01,7,0.9,200,1,0.8,5.754639885,0.86696123,9.634371395,,3.003487181,0.943700292,
0.01,3,0.9,300,3,0.8,7.071070866,0.799349412,9.671080818,,3.004051208,0.943679145,
0.01,8,0.9,200,1,0.8,5.754702715,0.86695828,9.635090942,,3.006002443,0.943605957,
0.01,3,0.9,400,3,0.8,5.758293359,0.866831274,9.583604212,,3.031601476,0.942641367,
0.01,5,0.9,200,1,0.8,5.764694768,0.866486605,9.611488457,,3.036636982,0.942450662,
0.01,3,0.8,400,1,0.8,3.446703289,0.952107032,9.03749239,,3.040847365,0.942290964,
0.2,5,0.6,100,10,0.8,4.602358179,0.914895644,9.074128151,,3.041715273,0.942258017,
0.01,7,0.8,300,3,0.8,7.297549389,0.786396144,9.432285299,,3.041916308,0.942250384,
0.01,8,0.8,300,3,0.8,7.297598044,0.786392958,9.432531347,,3.041916308,0.942250384,
0.01,6,0.8,300,3,0.8,7.297620896,0.786391624,9.430612078,,3.041945317,0.942249283,
0.01,4,0.8,300,3,0.8,7.318531004,0.785172949,9.461754789,,3.050855662,0.941910465,
0.01,6,0.7,400,3,0.8,6.535758781,0.828615767,9.070572729,,3.055655374,0.941727545,
0.01,7,0.7,400,3,0.8,6.535621045,0.828622977,9.070750113,,3.055655374,0.941727545,
0.01,8,0.7,400,3,0.8,6.535621969,0.828622917,9.070710773,,3.055655374,0.941727545,
0.01,5,0.8,300,3,0.8,7.298465384,0.78634356,9.435357561,,3.056744526,0.941685996,
0.2,6,0.6,100,10,0.8,4.601917887,0.914919657,8.994486809,,3.060772813,0.941532198,
0.2,7,0.6,100,10,0.8,4.601581072,0.914925573,9.002954245,,3.061484024,0.941505024,
0.2,8,0.6,100,10,0.8,4.601617927,0.914924226,9.00285244,,3.061484024,0.941505024,
0.01,4,0.7,400,3,0.8,6.563301016,0.827170674,9.072517385,,3.066143783,0.941326823,
0.01,5,0.7,400,3,0.8,6.538152079,0.828493044,9.071221228,,3.070116333,0.941174688,
0.01,4,0.6,300,3,0.6,8.638211403,0.700297497,9.594357233,,3.105313821,0.939818145,
0.01,3,0.8,400,3,0.8,6.18883138,0.846297214,9.282157059,,3.116684307,0.939376612,
0.01,3,0.6,300,3,0.6,8.685925667,0.696953419,9.607326488,,3.117388433,0.939349217,
0.01,5,0.6,300,3,0.6,8.633721148,0.700612258,9.587189655,,3.130275391,0.938846732,
0.01,7,0.6,300,3,0.6,8.633378564,0.700635318,9.587622623,,3.133992865,0.938701396,
0.01,8,0.6,300,3,0.6,8.633378564,0.700635318,9.587622623,,3.133992865,0.938701396,
0.01,6,0.6,300,3,0.6,8.633370009,0.700635903,9.587617855,,3.134079562,0.938698005,
0.01,3,0.7,400,1,0.8,3.848128451,0.940362955,8.732914801,,3.141237494,0.93841767,
0.01,3,0.8,200,1,0.8,6.568386629,0.826601946,9.379792919,,3.145025563,0.938269054,
0.4,7,0.6,100,3,1,0.09081984,0.999964546,8.804409266,,3.160444501,0.93766228,
0.4,8,0.6,100,3,1,0.087841423,0.999966527,8.746840954,,3.165007078,0.937482163,
0.3,8,0.9,100,3,1,0.016749317,0.999998815,8.853381872,,3.167835276,0.937370383,
0.3,8,0.9,200,3,1,0.001258862,0.999999993,8.854980469,,3.170772266,0.937254198,
0.3,8,0.9,300,3,1,0.001146636,0.999999995,8.85500598,,3.170903328,0.93724901,
0.3,8,0.9,400,3,1,0.001078669,0.999999995,8.855098009,,3.17114835,0.937239312,
0.3,7,0.9,100,3,1,0.018240406,0.999998557,8.836547375,,3.171408485,0.937229015,
0.3,7,0.9,200,3,1,0.001271451,0.999999993,8.838332653,,3.174966174,0.937088103,
0.3,7,0.9,300,3,1,0.001155016,0.999999994,8.83831954,,3.175252269,0.937076765,
0.3,7,0.9,400,3,1,0.001087255,0.999999995,8.838429213,,3.175463552,0.93706839,
0.01,4,0.6,400,3,0.8,7.204843831,0.791696666,9.022899141,,3.175581632,0.93706371,
